DATE,MEHOINUSA672N
1984-01-01,58930
1985-01-01,60050
1986-01-01,62280
1987-01-01,63060
1988-01-01,63530
1989-01-01,64610
1990-01-01,63830
1991-01-01,61960
1992-01-01,61450
1993-01-01,61150
1994-01-01,61800
1995-01-01,63770
1996-01-01,64710
1997-01-01,66050
1998-01-01,68470
1999-01-01,70210
2000-01-01,70020
2001-01-01,68870
2002-01-01,68310
2003-01-01,68350
2004-01-01,68250
2005-01-01,69310
2006-01-01,70080
2007-01-01,71210
2008-01-01,68780
2009-01-01,68340
2010-01-01,66730
2011-01-01,65750
2012-01-01,65740
2013-01-01,68220
2014-01-01,67360
2015-01-01,71000
2016-01-01,73520
2017-01-01,74810
2018-01-01,75790
2019-01-01,81210
2020-01-01,79560
2021-01-01,79260
2022-01-01,77540
2023-01-01,80610
