DATE,QUSR628BIS
1970-01-01,60.6614
1970-04-01,60.106
1970-07-01,60.3743
1970-10-01,60.3188
1971-01-01,61.5001
1971-04-01,62.4889
1971-07-01,62.4967
1971-10-01,63.6882
1972-01-01,63.4149
1972-04-01,64.6943
1972-07-01,65.3516
1972-10-01,66.1504
1973-01-01,68.2153
1973-04-01,68.3179
1973-07-01,68.5614
1973-10-01,68.439
1974-01-01,68.1847
1974-04-01,67.6017
1974-07-01,67.3668
1974-10-01,65.81
1975-01-01,66.3553
1975-04-01,67.2205
1975-07-01,66.995
1975-10-01,67.172
1976-01-01,64.7653
1976-04-01,65.9714
1976-07-01,66.5857
1976-10-01,68.5634
1977-01-01,70.1437
1977-04-01,71.9182
1977-07-01,73.4901
1977-10-01,74.8157
1978-01-01,76.6323
1978-04-01,77.28699999999999
1978-07-01,78.6113
1978-10-01,79.3191
1979-01-01,80.7724
1979-04-01,81.5157
1979-07-01,81.7678
1979-10-01,82.4423
1980-01-01,81.0307
1980-04-01,79.0388
1980-07-01,80.0444
1980-10-01,79.6393
1981-01-01,78.9979
1981-04-01,78.1785
1981-07-01,76.6561
1981-10-01,76.5986
1982-01-01,76.2282
1982-04-01,75.2671
1982-07-01,73.9387
1982-10-01,74.2989
1983-01-01,75.1465
1983-04-01,75.2266
1983-07-01,75.317
1983-10-01,75.6573
1984-01-01,75.6388
1984-04-01,75.8517
1984-07-01,76.1297
1984-10-01,76.0532
1985-01-01,76.5422
1985-04-01,76.8889
1985-07-01,77.4314
1985-10-01,78.2514
1986-01-01,79.6587
1986-04-01,81.3794
1986-07-01,82.5949
1986-10-01,83.45299999999999
1987-01-01,85.2621
1987-04-01,86.1051
1987-07-01,86.9591
1987-10-01,87.9365
1988-01-01,88.8075
1988-04-01,89.9446
1988-07-01,91.2802
1988-10-01,92.5929
1989-01-01,93.6146
1989-04-01,93.5796
1989-07-01,94.14
1989-10-01,94.7433
1990-01-01,94.068
1990-04-01,93.2412
1990-07-01,91.4612
1990-10-01,89.506
1991-01-01,88.1395
1991-04-01,88.2507
1991-07-01,87.26899999999999
1991-10-01,86.3223
1992-01-01,85.9293
1992-04-01,85.072
1992-07-01,84.2327
1992-10-01,83.8855
1993-01-01,83.4076
1993-04-01,83.1685
1993-07-01,83.4003
1993-10-01,83.5641
1994-01-01,83.2643
1994-04-01,83.21700000000001
1994-07-01,82.8815
1994-10-01,82.8311
1995-01-01,82.4361
1995-04-01,82.2503
1995-07-01,82.6068
1995-10-01,82.6275
1996-01-01,82.5824
1996-04-01,82.3577
1996-07-01,82.375
1996-10-01,82.2871
1997-01-01,82.4122
1997-04-01,82.9101
1997-07-01,83.6057
1997-10-01,84.5565
1998-01-01,86.014
1998-04-01,86.7098
1998-07-01,87.921
1998-10-01,89.2768
1999-01-01,90.3011
1999-04-01,91.2101
1999-07-01,92.4137
1999-10-01,93.8349
2000-01-01,95.2049
2000-04-01,96.6448
2000-07-01,97.9575
2000-10-01,99.6495
2001-01-01,101.0734
2001-04-01,101.7772
2001-07-01,103.5777
2001-10-01,105.571
2002-01-01,107.1135
2002-04-01,108.7236
2002-07-01,111.0383
2002-10-01,112.9424
2003-01-01,114.0786
2003-04-01,116.111
2003-07-01,118.9154
2003-10-01,122.8022
2004-01-01,125.8604
2004-04-01,129.0348
2004-07-01,132.9428
2004-10-01,137.1399
2005-01-01,141.8722
2005-04-01,145.5128
2005-07-01,148.739
2005-10-01,152.0541
2006-01-01,154.0304
2006-04-01,150.3729
2006-07-01,148.3911
2006-10-01,149.6279
2007-01-01,146.6849
2007-04-01,139.6893
2007-07-01,135.4535
2007-10-01,130.2201
2008-01-01,123.6914
2008-04-01,115.51899999999999
2008-07-01,109.0875
2008-10-01,106.4838
2009-01-01,103.9321
2009-04-01,102.8549
2009-07-01,102.4898
2009-10-01,102.8871
2010-01-01,101.5251
2010-04-01,101.3759
2010-07-01,99.1212
2010-10-01,97.9935
2011-01-01,95.0937
2011-04-01,93.9708
2011-07-01,93.9581
2011-10-01,93.9836
2012-01-01,94.0914
2012-04-01,95.7256
2012-07-01,97.428
2012-10-01,99.5466
2013-01-01,101.4598
2013-04-01,103.5296
2013-07-01,105.7145
2013-10-01,108.0611
2014-01-01,108.65799999999999
2014-04-01,108.0652
2014-07-01,109.3678
2014-10-01,111.9312
2015-01-01,113.9553
2015-04-01,113.9072
2015-07-01,115.2148
2015-10-01,117.4401
2016-01-01,118.7845
2016-04-01,118.7216
2016-07-01,119.9576
2016-10-01,121.5642
2017-01-01,122.2342
2017-04-01,123.2937
2017-07-01,124.6991
2017-10-01,126.2158
2018-01-01,127.0385
2018-04-01,127.1953
2018-07-01,128.0432
2018-10-01,129.2261
2019-01-01,129.7698
2019-04-01,129.4551
2019-07-01,130.6295
2019-10-01,132.2977
2020-01-01,133.6449
2020-04-01,135.4281
2020-07-01,138.2781
2020-10-01,143.1638
2021-01-01,146.1187
2021-04-01,149.4564
2021-07-01,153.4588
2021-10-01,157.2287
2022-01-01,160.6047
2022-04-01,160.3754
2022-07-01,157.2904
2022-10-01,157.358
2023-01-01,157.346
2023-04-01,157.0575
2023-07-01,158.9657
2023-10-01,160.8447
2024-01-01,160.4442
2024-04-01,159.3003
